permutation with time shift,react,from,to,corresponds to transition
"(1,0);(2,2)",get2,24,87,426
"(1,0);(2,1)",get1,24,79,427
"(2,0);(1,1)",mov,24,71,428
"(1,0);(2,1)",mov,24,73,429
"(1,1);(2,0)",mov,24,60,430
"(2,1);(1,0)",mov,24,62,431
"(1,0);(2,1)",stay,24,24,432
"(1,1);(2,0)",stay,24,24,433
"(1,1);(2,0)",mov,24,26,434
"(2,1);(1,0)",mov,24,21,435
"(1,1);(2,0)",mov,24,18,436
"(1,0);(2,1)",mov,97,40,437
"(2,0);(1,1)",mov,97,40,438
"(1,0);(2,1)",stay,97,97,439
"(2,0);(1,1)",stay,97,97,440
"(1,0);(2,1)",mov,98,145,441
"(2,0);(1,1)",mov,98,139,442
"(1,1);(2,0)",mov,98,137,443
"(1,1);(2,0)",mov,98,136,444
"(2,1);(1,0)",mov,98,82,445
"(2,1);(1,0)",mov,98,86,446
"(1,0);(2,1)",mov,98,38,447
"(1,0);(2,1)",stay,98,98,448
"(1,1);(2,0)",stay,98,98,449
"(1,1);(2,0)",mov,98,53,450
"(1,0);(2,1)",get1,99,166,451
"(1,1);(2,0)",mov,99,139,452
"(1,1);(2,0)",mov,99,138,453
"(1,1);(2,0)",mov,99,135,454
"(1,0);(2,2)",get2,99,114,455
"(2,1);(1,0)",mov,99,85,456
"(2,1);(1,0)",mov,99,83,457
"(2,1);(1,0)",mov,99,38,458
"(1,1);(2,0)",stay,99,99,459
"(1,0);(2,1)",stay,99,99,460
"(2,1);(1,0)",mov,100,145,461
"(1,0);(2,1)",stay,100,100,462
"(1,1);(2,0)",stay,100,100,463
"(2,0);(1,1)",mov,100,53,464
"(1,0);(2,1)",mov,101,37,465
"(2,0);(1,1)",mov,101,37,466
"(1,0);(2,1)",stay,101,101,467
"(2,0);(1,1)",stay,101,101,468
"(2,0);(1,1)",mov,102,68,469
"(1,0);(2,1)",mov,102,68,470
"(1,0);(2,1)",mov,102,47,471
"(2,0);(1,1)",mov,102,47,472
"(2,0);(1,1)",mov,102,46,473
"(1,0);(2,1)",mov,102,46,474
"(2,1);(1,0)",stay,102,102,475
"(1,1);(2,0)",stay,102,102,476
"(1,1);(2,0)",mov,103,71,477
"(2,1);(1,0)",mov,103,71,478
"(2,1);(1,0)",mov,103,45,479
"(1,1);(2,0)",mov,103,45,480
"(1,1);(2,0)",mov,103,47,481
"(2,1);(1,0)",mov,103,47,482
"(2,1);(1,0)",stay,103,103,483
"(1,1);(2,0)",stay,103,103,484
"(2,1);(1,0)",mov,104,70,485
"(1,1);(2,0)",mov,104,70,486
"(1,1);(2,0)",mov,104,37,487
"(2,1);(1,0)",mov,104,37,488
"(2,1);(1,0)",mov,104,46,489
"(1,1);(2,0)",mov,104,46,490
"(2,0);(1,1)",mov,104,45,491
"(1,0);(2,1)",mov,104,45,492
"(2,1);(1,0)",stay,104,104,493
"(1,1);(2,0)",stay,104,104,494
