permutation with time shift,react,from,to,corresponds to transition
"(1,1);(2,0)",stay,107,107,1311
"(1,0);(2,1)",mov,107,106,1312
"(1,0);(2,1)",stay,108,108,1313
"(1,1);(2,0)",stay,108,108,1314
"(1,0);(2,1)",mov,108,74,1315
"(2,0);(1,1)",mov,108,133,1316
"(1,0);(2,1)",mov,108,132,1317
"(2,0);(1,1)",mov,108,77,1318
"(2,1);(1,0)",mov,108,148,1319
"(2,0);(1,1)",mov,108,151,1320
"(1,2);(2,0)",set1,109,170,1321
"(1,0);(2,1)",stay,109,109,1322
"(1,1);(2,0)",stay,109,109,1323
"(1,0);(2,1)",mov,109,78,1324
"(2,0);(1,1)",mov,109,134,1325
"(1,0);(2,1)",mov,109,131,1326
"(2,0);(1,1)",mov,109,75,1327
"(2,1);(1,0)",mov,109,151,1328
"(2,0);(1,1)",mov,109,148,1329
"(2,1);(1,0)",mov,110,213,1330
"(1,1);(2,0)",mov,110,193,1331
"(1,1);(2,0)",mov,110,176,1332
"(1,0);(2,1)",stay,110,110,1333
"(1,1);(2,0)",stay,110,110,1334
"(2,1);(1,0)",mov,110,78,1335
"(1,1);(2,0)",mov,110,134,1336
"(1,0);(2,1)",mov,110,79,1337
"(2,1);(1,0)",mov,110,154,1338
"(1,1);(2,0)",mov,110,95,1339
"(2,2);(1,0)",get2,111,232,1340
"(2,2);(1,0)",get2,111,232,1341
"(1,1);(2,0)",mov,111,195,1342
"(1,1);(2,0)",mov,111,177,1343
"(1,1);(2,0)",stay,111,111,1344
"(1,0);(2,1)",stay,111,111,1345
"(1,0);(2,1)",mov,111,76,1346
"(1,1);(2,0)",mov,111,132,1347
"(2,1);(1,0)",mov,111,77,1348
"(1,0);(2,1)",mov,111,153,1349
"(1,0);(2,1)",mov,223,302,1350
"(2,0);(1,2)",get2,223,296,1351
"(2,0);(1,2)",get2,223,296,1352
"(1,0);(2,1)",mov,223,236,1353
"(2,0);(1,1)",mov,223,170,1354
"(2,0);(1,1)",mov,223,219,1355
"(1,0);(2,1)",stay,223,223,1356
"(1,1);(2,0)",stay,223,223,1357
"(2,1);(1,0)",mov,223,222,1358
"(1,1);(2,0)",mov,223,157,1359
"(2,0);(1,1)",mov,224,179,1360
"(1,0);(2,1)",mov,224,179,1361
"(1,0);(2,1)",mov,224,155,1362
"(2,0);(1,1)",mov,224,155,1363
"(2,0);(1,1)",mov,224,200,1364
"(1,0);(2,1)",mov,224,200,1365
"(2,0);(1,1)",stay,224,224,1366
"(1,0);(2,1)",stay,224,224,1367
"(2,1);(1,0)",mov,225,118,1368
"(1,1);(2,0)",mov,225,118,1369
"(2,1);(1,0)",mov,225,180,1370
"(1,1);(2,0)",mov,225,180,1371
"(1,1);(2,0)",mov,225,201,1372
"(2,1);(1,0)",mov,225,201,1373
"(2,1);(1,0)",mov,225,155,1374
"(1,1);(2,0)",mov,225,155,1375
"(1,0);(2,1)",stay,225,225,1376
"(2,0);(1,1)",stay,225,225,1377
"(2,1);(1,0)",mov,226,264,1378
"(2,0);(1,1)",mov,226,117,1379
"(1,0);(2,1)",stay,226,226,1380
"(1,1);(2,0)",stay,226,226,1381
"(2,0);(1,1)",mov,227,309,1382
"(1,0);(2,1)",get1,227,276,1383
"(2,0);(1,3)",set2,227,253,1384
"(1,0);(2,2)",get2,227,250,1385
"(1,0);(2,1)",mov,227,208,1386
"(1,1);(2,0)",mov,227,209,1387
"(1,0);(2,1)",stay,227,227,1388
"(1,1);(2,0)",stay,227,227,1389
"(1,0);(2,1)",mov,227,159,1390
"(2,1);(1,0)",mov,227,163,1391
"(1,1);(2,0)",mov,227,229,1392
"(1,1);(2,0)",mov,228,309,1393
"(1,0);(2,1)",mov,228,258,1394
"(1,0);(2,1)",mov,228,206,1395
"(1,1);(2,0)",mov,228,207,1396
"(1,0);(2,1)",stay,228,228,1397
"(1,1);(2,0)",stay,228,228,1398
"(2,1);(1,0)",mov,228,159,1399
"(1,0);(2,1)",mov,228,160,1400
"(1,1);(2,0)",mov,228,230,1401
"(2,0);(1,1)",mov,229,309,1402
"(1,0);(2,1)",get1,229,274,1403
"(2,2);(1,0)",get2,229,249,1404
"(2,1);(1,0)",mov,229,206,1405
"(1,1);(2,0)",mov,229,209,1406
"(1,0);(2,1)",stay,229,229,1407
"(1,1);(2,0)",stay,229,229,1408
"(1,0);(2,1)",mov,229,158,1409
"(1,0);(2,1)",mov,229,161,1410
"(1,1);(2,0)",mov,229,227,1411
"(1,1);(2,0)",mov,230,309,1412
"(2,1);(1,0)",mov,230,257,1413
"(2,1);(1,0)",mov,230,208,1414
"(1,1);(2,0)",mov,230,207,1415
"(1,0);(2,1)",stay,230,230,1416
"(1,1);(2,0)",stay,230,230,1417
"(2,1);(1,0)",mov,230,158,1418
"(1,0);(2,1)",mov,230,164,1419
"(1,1);(2,0)",mov,230,228,1420
"(1,1);(2,0)",mov,231,292,1421
"(2,1);(1,0)",mov,231,290,1422
"(1,1);(2,0)",mov,231,277,1423
"(2,1);(1,0)",mov,231,276,1424
"(2,1);(1,0)",mov,231,204,1425
"(1,1);(2,0)",mov,231,202,1426
"(1,0);(2,1)",stay,231,231,1427
"(1,1);(2,0)",stay,231,231,1428
"(1,1);(2,0)",mov,232,288,1429
"(2,1);(1,0)",mov,232,293,1430
"(1,1);(2,0)",mov,232,274,1431
"(2,1);(1,0)",mov,232,275,1432
"(1,1);(2,0)",mov,232,205,1433
"(2,1);(1,0)",mov,232,203,1434
"(1,1);(2,0)",stay,232,232,1435
"(1,0);(2,1)",stay,232,232,1436
"(1,2);(2,0)",get2,233,245,1437
"(1,2);(2,0)",get2,233,245,1438
"(1,0);(2,1)",mov,233,124,1439
"(2,0);(1,1)",mov,233,210,1440
"(2,0);(1,1)",mov,233,212,1441
"(1,0);(2,1)",stay,233,233,1442
"(1,1);(2,0)",stay,233,233,1443
"(1,1);(2,0)",mov,233,165,1444
"(1,1);(2,0)",mov,234,260,1445
"(2,1);(1,0)",mov,234,240,1446
"(1,0);(2,1)",mov,234,239,1447
"(1,0);(2,1)",mov,234,235,1448
"(2,0);(1,1)",mov,234,114,1449
"(1,1);(2,0)",mov,234,172,1450
"(1,1);(2,0)",mov,234,171,1451
"(1,0);(2,1)",stay,234,234,1452
"(1,1);(2,0)",stay,234,234,1453
"(1,0);(2,1)",mov,216,151,1454
"(2,1);(1,0)",mov,216,149,1455
"(2,0);(1,1)",mov,216,194,1456
"(2,0);(1,1)",mov,216,154,1457
"(1,0);(2,1)",mov,216,193,1458
"(1,1);(2,0)",mov,216,148,1459
"(1,0);(2,1)",stay,216,216,1460
"(1,1);(2,0)",stay,216,216,1461
"(1,1);(2,0)",mov,217,278,1462
"(1,0);(2,1)",mov,217,264,1463
"(1,1);(2,0)",mov,217,117,1464
"(2,1);(1,0)",mov,217,152,1465
"(1,1);(2,0)",mov,217,192,1466
"(2,1);(1,0)",mov,217,150,1467
"(2,1);(1,0)",mov,217,154,1468
"(1,1);(2,0)",mov,217,193,1469
"(1,0);(2,1)",stay,217,217,1470
"(1,1);(2,0)",stay,217,217,1471
"(1,1);(2,0)",mov,218,303,1472
"(2,1);(1,0)",mov,218,302,1473
"(1,0);(2,1)",mov,218,247,1474
"(1,1);(2,0)",mov,218,248,1475
"(2,1);(1,0)",mov,218,106,1476
"(1,0);(2,1)",stay,218,218,1477
"(1,1);(2,0)",stay,218,218,1478
"(2,1);(1,0)",mov,218,219,1479
"(1,1);(2,0)",mov,218,220,1480
"(1,1);(2,0)",mov,219,302,1481
"(2,1);(1,0)",mov,219,301,1482
"(2,0);(1,1)",mov,219,247,1483
"(2,1);(1,0)",mov,219,246,1484
"(1,0);(2,1)",stay,219,219,1485
"(1,1);(2,0)",stay,219,219,1486
"(1,0);(2,1)",mov,219,220,1487
"(2,0);(1,1)",mov,219,218,1488
"(1,1);(2,0)",mov,220,303,1489
"(2,1);(1,0)",mov,220,301,1490
"(1,1);(2,0)",mov,220,248,1491
"(2,1);(1,0)",mov,220,246,1492
"(2,1);(1,0)",mov,220,107,1493
"(1,0);(2,1)",stay,220,220,1494
"(1,1);(2,0)",stay,220,220,1495
"(1,0);(2,1)",mov,220,219,1496
"(1,1);(2,0)",mov,220,218,1497
"(1,0);(2,1)",mov,221,304,1498
"(1,0);(2,1)",mov,221,305,1499
"(1,0);(2,1)",mov,221,266,1500
"(1,1);(2,0)",mov,221,256,1501
"(1,0);(2,1)",stay,221,221,1502
"(1,1);(2,0)",stay,221,221,1503
"(2,0);(1,1)",mov,222,302,1504
"(2,2);(1,0)",get2,222,297,1505
"(2,2);(1,0)",get2,222,297,1506
"(2,0);(1,1)",mov,222,236,1507
"(2,1);(1,0)",mov,222,169,1508
"(1,1);(2,0)",mov,222,144,1509
"(2,1);(1,0)",mov,222,218,1510
"(1,0);(2,1)",stay,222,222,1511
"(1,1);(2,0)",stay,222,222,1512
"(2,0);(1,1)",mov,222,223,1513
"(1,0);(2,1)",mov,222,157,1514
"(2,0);(1,1)",mov,209,309,1515
"(1,0);(2,1)",get1,209,308,1516
"(1,0);(2,2)",get2,209,306,1517
"(1,1);(2,0)",stay,209,209,1518
"(1,0);(2,1)",stay,209,209,1519
"(2,1);(1,0)",mov,209,164,1520
"(1,1);(2,0)",mov,209,227,1521
"(1,1);(2,0)",mov,209,229,1522
"(2,1);(1,0)",mov,209,160,1523
"(2,1);(1,0)",mov,209,162,1524
"(2,1);(1,0)",mov,210,300,1525
"(2,1);(1,0)",mov,210,263,1526
"(2,0);(1,1)",mov,210,133,1527
"(1,0);(2,1)",stay,210,210,1528
"(1,1);(2,0)",stay,210,210,1529
"(2,1);(1,0)",mov,210,211,1530
"(1,1);(2,0)",mov,211,300,1531
"(1,1);(2,0)",mov,211,263,1532
"(1,0);(2,1)",mov,211,112,1533
"(2,0);(1,1)",mov,211,115,1534
"(1,0);(2,1)",stay,211,211,1535
"(1,1);(2,0)",stay,211,211,1536
"(2,0);(1,1)",mov,211,210,1537
"(1,0);(2,1)",mov,212,299,1538
"(2,1);(1,0)",mov,212,265,1539
"(2,0);(1,1)",mov,212,134,1540
"(1,0);(2,1)",stay,212,212,1541
"(1,1);(2,0)",stay,212,212,1542
"(1,0);(2,1)",mov,212,213,1543
"(1,0);(2,1)",mov,213,299,1544
"(2,1);(1,0)",mov,213,265,1545
"(2,0);(1,1)",mov,213,110,1546
"(1,0);(2,1)",mov,213,116,1547
"(1,1);(2,0)",stay,213,213,1548
"(1,0);(2,1)",stay,213,213,1549
"(1,0);(2,1)",mov,213,212,1550
"(1,2);(2,0)",set1,214,246,1551
"(1,0);(2,1)",mov,214,150,1552
"(2,0);(1,1)",mov,214,192,1553
"(2,0);(1,1)",mov,214,148,1554
"(1,1);(2,0)",mov,214,153,1555
"(1,0);(2,1)",mov,214,195,1556
"(2,1);(1,0)",mov,214,151,1557
"(1,1);(2,0)",stay,214,214,1558
"(1,0);(2,1)",stay,214,214,1559
"(2,2);(1,0)",get2,215,308,1560
"(2,2);(1,0)",get2,215,308,1561
"(2,0);(1,1)",mov,215,278,1562
"(1,0);(2,1)",mov,215,149,1563
"(1,1);(2,0)",mov,215,194,1564
"(1,1);(2,0)",mov,215,195,1565
"(1,0);(2,1)",mov,215,153,1566
"(1,0);(2,1)",mov,215,152,1567
"(1,1);(2,0)",stay,215,215,1568
"(1,0);(2,1)",stay,215,215,1569
"(2,1);(1,0)",mov,202,310,1570
"(1,2);(2,0)",set1,202,296,1571
"(1,1);(2,0)",mov,202,292,1572
"(1,0);(2,1)",mov,202,286,1573
"(1,1);(2,0)",mov,202,277,1574
"(2,1);(1,0)",mov,202,273,1575
"(1,0);(2,1)",stay,202,202,1576
"(1,1);(2,0)",stay,202,202,1577
"(1,1);(2,0)",mov,202,231,1578
"(1,0);(2,1)",mov,203,311,1579
"(2,1);(1,0)",mov,203,287,1580
"(1,1);(2,0)",mov,203,293,1581
"(1,1);(2,0)",mov,203,275,1582
"(1,0);(2,1)",mov,203,272,1583
"(1,0);(2,1)",stay,203,203,1584
"(1,1);(2,0)",stay,203,203,1585
"(2,0);(1,1)",mov,203,232,1586
"(1,0);(2,1)",mov,204,310,1587
"(1,1);(2,0)",mov,204,290,1588
"(2,1);(1,0)",mov,204,289,1589
"(1,1);(2,0)",mov,204,276,1590
"(2,1);(1,0)",mov,204,272,1591
"(1,0);(2,1)",stay,204,204,1592
"(1,1);(2,0)",stay,204,204,1593
"(2,0);(1,1)",mov,204,231,1594
"(2,1);(1,0)",mov,205,311,1595
"(2,1);(1,0)",mov,205,291,1596
"(1,1);(2,0)",mov,205,288,1597
"(1,1);(2,0)",mov,205,274,1598
"(1,0);(2,1)",mov,205,273,1599
"(2,0);(1,3)",set2,205,255,1600
"(1,0);(2,1)",stay,205,205,1601
"(1,1);(2,0)",stay,205,205,1602
"(1,1);(2,0)",mov,205,232,1603
"(1,1);(2,0)",stay,206,206,1604
"(1,0);(2,1)",stay,206,206,1605
"(1,0);(2,1)",mov,206,160,1606
"(2,0);(1,1)",mov,206,229,1607
"(2,0);(1,1)",mov,206,158,1608
"(2,0);(1,1)",mov,206,161,1609
"(1,0);(2,1)",mov,206,228,1610
"(2,1);(1,0)",mov,206,159,1611
"(1,1);(2,0)",mov,207,309,1612
"(1,0);(2,1)",mov,207,259,1613
"(1,1);(2,0)",mov,207,142,1614
"(1,0);(2,1)",stay,207,207,1615
"(1,1);(2,0)",stay,207,207,1616
"(1,1);(2,0)",mov,207,230,1617
"(1,0);(2,1)",mov,207,163,1618
"(1,0);(2,1)",mov,207,162,1619
"(2,1);(1,0)",mov,207,161,1620
"(1,1);(2,0)",mov,207,228,1621
"(2,0);(1,3)",set2,208,284,1622
"(1,1);(2,0)",stay,208,208,1623
"(1,0);(2,1)",stay,208,208,1624
"(1,0);(2,1)",mov,208,227,1625
"(2,0);(1,1)",mov,208,164,1626
"(1,1);(2,0)",mov,208,158,1627
"(2,0);(1,1)",mov,208,230,1628
"(2,1);(1,0)",mov,208,163,1629
"(1,0);(2,1)",mov,208,159,1630
"(2,0);(1,2)",set1,195,301,1631
"(2,0);(1,1)",mov,195,278,1632
"(1,0);(2,2)",get2,195,275,1633
"(1,0);(2,2)",get2,195,275,1634
"(1,0);(2,1)",stay,195,195,1635
"(1,1);(2,0)",stay,195,195,1636
"(2,1);(1,0)",mov,195,151,1637
"(1,0);(2,1)",mov,195,150,1638
"(1,1);(2,0)",mov,195,194,1639
"(1,0);(2,1)",mov,195,214,1640
"(1,1);(2,0)",mov,195,215,1641
"(1,0);(2,1)",mov,196,280,1642
"(2,1);(1,0)",mov,196,258,1643
"(2,0);(1,1)",mov,196,136,1644
"(1,0);(2,1)",stay,196,196,1645
"(1,1);(2,0)",stay,196,196,1646
"(1,0);(2,1)",mov,196,197,1647
"(1,0);(2,1)",mov,197,280,1648
"(2,1);(1,0)",mov,197,258,1649
"(2,0);(1,1)",mov,197,127,1650
"(1,0);(2,1)",mov,197,141,1651
"(1,1);(2,0)",stay,197,197,1652
"(1,0);(2,1)",stay,197,197,1653
"(1,0);(2,1)",mov,197,196,1654
"(2,1);(1,0)",mov,198,281,1655
"(1,0);(2,1)",mov,198,257,1656
"(2,0);(1,1)",mov,198,137,1657
"(1,0);(2,1)",stay,198,198,1658
"(1,1);(2,0)",stay,198,198,1659
"(1,0);(2,1)",mov,198,199,1660
"(2,1);(1,0)",mov,199,281,1661
"(1,0);(2,1)",mov,199,257,1662
"(2,0);(1,1)",mov,199,129,1663
"(1,0);(2,1)",mov,199,140,1664
"(1,1);(2,0)",stay,199,199,1665
"(1,0);(2,1)",stay,199,199,1666
"(1,0);(2,1)",mov,199,198,1667
"(2,0);(1,1)",mov,200,307,1668
"(2,2);(1,0)",get2,200,295,1669
"(2,1);(1,0)",get1,200,255,1670
"(1,1);(2,0)",mov,200,254,1671
"(1,0);(2,1)",mov,200,179,1672
"(1,0);(2,1)",stay,200,200,1673
"(1,1);(2,0)",stay,200,200,1674
"(2,0);(1,1)",mov,200,201,1675
"(1,0);(2,1)",mov,200,155,1676
"(1,0);(2,1)",mov,200,224,1677
"(1,0);(2,1)",mov,201,307,1678
"(2,0);(1,2)",get2,201,294,1679
"(2,0);(1,1)",get1,201,256,1680
"(2,1);(1,0)",mov,201,254,1681
"(2,1);(1,0)",mov,201,119,1682
"(1,1);(2,0)",mov,201,180,1683
"(1,0);(2,1)",stay,201,201,1684
"(1,1);(2,0)",stay,201,201,1685
"(2,1);(1,0)",mov,201,200,1686
"(1,1);(2,0)",mov,201,155,1687
"(2,0);(1,1)",mov,201,225,1688
"(1,0);(2,1)",mov,188,143,1689
"(2,0);(1,1)",mov,188,143,1690
"(1,0);(2,1)",stay,188,188,1691
"(2,0);(1,1)",stay,188,188,1692
"(1,1);(2,0)",get1,189,282,1693
"(2,0);(1,2)",get2,189,260,1694
"(2,1);(1,0)",mov,189,139,1695
"(1,0);(2,1)",stay,189,189,1696
"(1,1);(2,0)",stay,189,189,1697
"(1,1);(2,0)",mov,189,145,1698
"(2,0);(1,1)",mov,189,196,1699
"(2,0);(1,1)",mov,189,198,1700
"(1,0);(2,2)",get2,190,270,1701
"(1,0);(2,1)",get1,190,267,1702
"(1,1);(2,0)",mov,190,252,1703
"(1,0);(2,1)",stay,190,190,1704
"(1,1);(2,0)",stay,190,190,1705
"(1,0);(2,1)",mov,190,191,1706
"(1,0);(2,1)",mov,190,147,1707
"(1,0);(2,1)",mov,190,146,1708
"(1,0);(2,1)",mov,191,298,1709
"(2,0);(1,1)",mov,191,285,1710
"(1,0);(2,1)",stay,191,191,1711
"(1,1);(2,0)",stay,191,191,1712
"(1,0);(2,1)",mov,191,190,1713
"(1,0);(2,1)",mov,191,147,1714
"(1,0);(2,1)",mov,191,146,1715
"(1,1);(2,0)",mov,192,278,1716
"(1,0);(2,1)",mov,192,263,1717
"(1,0);(2,1)",stay,192,192,1718
"(1,1);(2,0)",stay,192,192,1719
"(1,1);(2,0)",mov,192,193,1720
"(1,0);(2,1)",mov,192,148,1721
"(2,1);(1,0)",mov,192,153,1722
"(2,1);(1,0)",mov,192,214,1723
"(1,1);(2,0)",mov,192,217,1724
"(1,1);(2,0)",mov,193,278,1725
"(1,0);(2,1)",mov,193,265,1726
"(1,0);(2,1)",stay,193,193,1727
"(1,1);(2,0)",stay,193,193,1728
"(1,0);(2,1)",mov,193,151,1729
"(2,1);(1,0)",mov,193,149,1730
"(1,1);(2,0)",mov,193,192,1731
"(1,0);(2,1)",mov,193,216,1732
"(1,1);(2,0)",mov,193,217,1733
"(2,0);(1,1)",mov,194,278,1734
"(1,0);(2,2)",get2,194,277,1735
"(1,0);(2,2)",get2,194,277,1736
"(1,1);(2,0)",stay,194,194,1737
"(1,0);(2,1)",stay,194,194,1738
"(1,1);(2,0)",mov,194,195,1739
"(1,0);(2,1)",mov,194,154,1740
"(2,1);(1,0)",mov,194,148,1741
"(1,1);(2,0)",mov,194,215,1742
"(2,1);(1,0)",mov,194,216,1743
"(1,0);(2,1)",mov,181,118,1744
"(2,0);(1,1)",mov,181,118,1745
"(1,0);(2,1)",stay,181,181,1746
"(2,0);(1,1)",stay,181,181,1747
"(1,0);(2,1)",get1,182,288,1748
"(1,1);(2,0)",mov,182,280,1749
"(1,0);(2,2)",get2,182,237,1750
"(1,1);(2,0)",mov,182,128,1751
"(2,1);(1,0)",mov,182,127,1752
"(1,0);(2,1)",stay,182,182,1753
"(1,1);(2,0)",stay,182,182,1754
"(1,1);(2,0)",mov,182,135,1755
"(2,1);(1,0)",mov,182,136,1756
"(1,1);(2,0)",mov,182,229,1757
"(2,1);(1,0)",mov,182,228,1758
"(2,0);(1,1)",get1,183,290,1759
"(1,0);(2,1)",mov,183,281,1760
"(1,2);(2,0)",get2,183,238,1761
"(2,1);(1,0)",mov,183,130,1762
"(1,1);(2,0)",mov,183,129,1763
"(1,0);(2,1)",stay,183,183,1764
"(1,1);(2,0)",stay,183,183,1765
"(2,1);(1,0)",mov,183,138,1766
"(1,1);(2,0)",mov,183,137,1767
"(2,1);(1,0)",mov,183,227,1768
"(1,1);(2,0)",mov,183,230,1769
"(2,1);(1,0)",mov,184,250,1770
"(1,1);(2,0)",mov,184,250,1771
"(1,0);(2,1)",mov,184,238,1772
"(2,0);(1,1)",mov,184,238,1773
"(2,1);(1,0)",mov,184,172,1774
"(1,1);(2,0)",mov,184,172,1775
"(1,0);(2,1)",stay,184,184,1776
"(2,0);(1,1)",stay,184,184,1777
"(2,0);(1,1)",mov,185,249,1778
"(1,0);(2,1)",mov,185,249,1779
"(2,1);(1,0)",mov,185,237,1780
"(1,1);(2,0)",mov,185,237,1781
"(2,1);(1,0)",mov,185,171,1782
"(1,1);(2,0)",mov,185,171,1783
"(1,0);(2,1)",stay,185,185,1784
"(2,0);(1,1)",stay,185,185,1785
"(1,0);(2,1)",mov,186,312,1786
"(2,1);(1,0)",mov,186,286,1787
"(1,0);(2,1)",mov,186,287,1788
"(2,0);(1,1)",mov,186,282,1789
"(1,0);(2,1)",stay,186,186,1790
"(1,1);(2,0)",stay,186,186,1791
"(1,1);(2,0)",mov,186,204,1792
"(1,1);(2,0)",mov,186,205,1793
"(1,1);(2,0)",mov,186,166,1794
"(2,1);(1,0)",mov,187,312,1795
"(1,0);(2,1)",mov,187,289,1796
"(1,0);(2,1)",mov,187,291,1797
"(2,0);(1,1)",mov,187,245,1798
"(1,0);(2,1)",stay,187,187,1799
"(1,1);(2,0)",stay,187,187,1800
"(1,1);(2,0)",mov,187,203,1801
"(1,1);(2,0)",mov,187,202,1802
"(2,0);(1,1)",mov,187,166,1803
"(1,1);(2,0)",mov,174,294,1804
"(1,0);(2,1)",mov,174,268,1805
"(1,0);(2,1)",mov,174,243,1806
"(1,0);(2,1)",mov,174,241,1807
"(1,0);(2,1)",stay,174,174,1808
"(1,1);(2,0)",stay,174,174,1809
"(2,1);(1,0)",mov,175,259,1810
"(1,0);(2,1)",stay,175,175,1811
"(1,1);(2,0)",stay,175,175,1812
"(2,0);(1,1)",mov,175,142,1813
"(2,1);(1,0)",mov,176,299,1814
"(2,0);(1,2)",get2,176,292,1815
"(2,0);(1,2)",get2,176,292,1816
"(2,1);(1,0)",mov,176,113,1817
"(1,1);(2,0)",mov,176,110,1818
"(1,0);(2,1)",stay,176,176,1819
"(1,1);(2,0)",stay,176,176,1820
"(1,1);(2,0)",mov,176,134,1821
"(2,1);(1,0)",mov,176,131,1822
"(1,1);(2,0)",mov,176,193,1823
"(2,1);(1,0)",mov,176,194,1824
"(2,0);(1,1)",mov,177,300,1825
"(1,0);(2,2)",get2,177,293,1826
"(1,0);(2,2)",get2,177,293,1827
"(2,1);(1,0)",mov,177,112,1828
"(1,1);(2,0)",mov,177,111,1829
"(1,0);(2,1)",stay,177,177,1830
"(1,1);(2,0)",stay,177,177,1831
"(2,1);(1,0)",mov,177,133,1832
"(1,1);(2,0)",mov,177,132,1833
"(2,1);(1,0)",mov,177,192,1834
"(1,1);(2,0)",mov,177,195,1835
"(2,0);(1,1)",mov,178,285,1836
"(1,0);(2,1)",mov,178,284,1837
"(2,0);(1,1)",mov,178,252,1838
"(2,1);(1,0)",mov,178,253,1839
"(1,0);(2,1)",stay,178,178,1840
"(1,1);(2,0)",stay,178,178,1841
"(1,0);(2,1)",mov,178,179,1842
"(1,1);(2,0)",mov,178,180,1843
"(2,1);(1,0)",mov,178,146,1844
"(2,0);(1,1)",mov,179,283,1845
"(1,0);(2,1)",mov,179,284,1846
"(2,0);(1,1)",mov,179,254,1847
"(2,1);(1,0)",mov,179,253,1848
"(1,0);(2,1)",stay,179,179,1849
"(1,1);(2,0)",stay,179,179,1850
"(1,0);(2,1)",mov,179,178,1851
"(2,0);(1,1)",mov,179,180,1852
"(1,0);(2,1)",mov,180,283,1853
"(2,0);(1,1)",mov,180,285,1854
"(2,0);(1,1)",mov,180,252,1855
"(1,0);(2,1)",mov,180,254,1856
"(1,0);(2,1)",stay,180,180,1857
"(1,1);(2,0)",stay,180,180,1858
"(2,1);(1,0)",mov,180,179,1859
"(1,1);(2,0)",mov,180,178,1860
"(2,1);(1,0)",mov,180,147,1861
"(2,0);(1,1)",mov,167,303,1862
"(1,0);(2,2)",get2,167,269,1863
"(1,0);(2,2)",get2,167,269,1864
"(1,0);(2,1)",stay,167,167,1865
"(1,1);(2,0)",stay,167,167,1866
"(1,0);(2,1)",mov,167,168,1867
"(1,0);(2,1)",mov,167,106,1868
"(1,0);(2,1)",mov,167,107,1869
"(1,0);(2,1)",mov,168,279,1870
"(1,1);(2,0)",mov,168,248,1871
"(1,0);(2,1)",stay,168,168,1872
"(1,1);(2,0)",stay,168,168,1873
"(1,0);(2,1)",mov,168,106,1874
"(1,0);(2,1)",mov,168,167,1875
"(1,0);(2,1)",mov,168,107,1876
"(2,1);(1,0)",stay,169,169,1877
"(1,1);(2,0)",stay,169,169,1878
"(1,1);(2,0)",mov,169,143,1879
"(2,1);(1,0)",mov,169,143,1880
"(1,1);(2,0)",mov,169,218,1881
"(2,1);(1,0)",mov,169,218,1882
"(2,0);(1,1)",mov,169,222,1883
"(1,0);(2,1)",mov,169,222,1884
"(1,0);(2,1)",mov,169,157,1885
"(2,0);(1,1)",mov,169,157,1886
"(2,1);(1,0)",stay,170,170,1887
"(1,1);(2,0)",stay,170,170,1888
"(2,0);(1,1)",mov,170,219,1889
"(1,0);(2,1)",mov,170,219,1890
"(1,1);(2,0)",mov,170,223,1891
"(2,1);(1,0)",mov,170,223,1892
"(2,1);(1,0)",mov,170,157,1893
"(1,1);(2,0)",mov,170,157,1894
"(2,0);(1,3)",set2,171,295,1895
"(1,0);(2,1)",mov,171,261,1896
"(2,0);(1,1)",mov,171,249,1897
"(2,1);(1,0)",mov,171,251,1898
"(1,1);(2,0)",mov,171,237,1899
"(2,1);(1,0)",mov,171,239,1900
"(1,0);(2,1)",stay,171,171,1901
"(1,1);(2,0)",stay,171,171,1902
"(2,0);(1,1)",mov,171,185,1903
"(1,0);(2,1)",mov,172,262,1904
"(1,1);(2,0)",mov,172,250,1905
"(1,0);(2,1)",mov,172,251,1906
"(2,0);(1,1)",mov,172,238,1907
"(1,0);(2,1)",mov,172,240,1908
"(1,0);(2,1)",stay,172,172,1909
"(1,1);(2,0)",stay,172,172,1910
"(2,0);(1,1)",mov,172,184,1911
"(2,0);(1,1)",mov,173,297,1912
"(1,0);(2,1)",mov,173,271,1913
"(1,0);(2,1)",mov,173,242,1914
"(1,0);(2,1)",mov,173,244,1915
"(1,0);(2,1)",stay,173,173,1916
"(1,1);(2,0)",stay,173,173,1917
"(1,0);(2,2)",get2,299,320,1918
"(1,0);(2,2)",get2,299,320,1919
"(2,0);(1,1)",mov,299,176,1920
"(2,1);(1,0)",mov,299,265,1921
"(1,0);(2,1)",stay,299,299,1922
"(1,1);(2,0)",stay,299,299,1923
"(1,0);(2,1)",mov,299,212,1924
"(1,0);(2,1)",mov,299,213,1925
"(2,0);(1,2)",get2,300,318,1926
"(2,0);(1,2)",get2,300,318,1927
"(2,1);(1,0)",mov,300,177,1928
"(1,1);(2,0)",mov,300,263,1929
"(1,0);(2,1)",stay,300,300,1930
"(1,1);(2,0)",stay,300,300,1931
"(2,0);(1,1)",mov,300,210,1932
"(1,1);(2,0)",mov,300,211,1933
"(2,0);(1,2)",get2,301,379,1934
"(2,0);(1,2)",get2,301,379,1935
"(2,1);(1,0)",mov,301,330,1936
"(1,1);(2,0)",mov,301,246,1937
"(1,0);(2,1)",stay,301,301,1938
"(1,1);(2,0)",stay,301,301,1939
"(1,0);(2,1)",mov,301,302,1940
"(2,0);(1,1)",mov,301,219,1941
"(2,0);(1,1)",mov,301,220,1942
"(1,0);(2,1)",mov,301,303,1943
"(2,0);(1,2)",get2,302,377,1944
"(2,0);(1,2)",get2,302,377,1945
